"gu","year","area","price"
"노원구",1996,59.75,548
"노원구",1996,84.77,870
"노원구",1996,131.25,645
"노원구",1996,59.34,337
"노원구",1996,84.79,430
"노원구",1997,59.89,315
"노원구",1997,49.6,244
"노원구",1997,84.6,615
"노원구",1997,84.78,565
"노원구",1997,84.99,590
"노원구",1997,84.95,385
"노원구",1997,84.95,403
"노원구",1997,73.17,455
"노원구",1997,59.94,395
"노원구",1997,59.76,380
"노원구",1997,84.9,680
"노원구",1998,49.77,302
"노원구",1998,49.77,240
"노원구",1998,84.21,490
"노원구",1998,59.4,300
"노원구",1998,49.77,265
"노원구",1998,59.4,265
"노원구",1998,84.98,543
"노원구",1998,39.84,198
"노원구",1998,84.9,742
"노원구",1998,39.7,208
"노원구",1998,59.95,383
"노원구",1998,84.21,490
"노원구",1998,39.7,247
"노원구",1998,49.77,296
"노원구",1998,59.95,365
"노원구",1998,59.92,380
"노원구",1998,59.4,330
"노원구",1998,59.82,420
"노원구",1998,59.95,393
"노원구",1998,59.82,420
"노원구",1998,49.6,234
"노원구",1998,39.7,250
"노원구",1998,39.84,200
"노원구",1998,49.77,300
"노원구",1998,39.7,240
"노원구",1998,84.9,750
"노원구",1998,84.98,510
"노원구",1998,49.77,308
"노원구",1998,59.85,230
"노원구",1999,84.88,640
"노원구",1999,59.9,370
"노원구",1999,84.9,420
"노원구",1999,59.4,450
"노원구",1999,59.99,368
"노원구",1999,49.6,310
"노원구",1999,84.86,517
"노원구",1999,85,546
"노원구",1999,84.9,475
"노원구",1999,84.88,648
"노원구",1999,114.81,750
"노원구",1999,59.99,377
"노원구",1999,84.75,595
"노원구",1999,59.28,345
"노원구",1999,49.6,302
"노원구",1999,59.97,530
"노원구",1999,59.88,387
"노원구",1999,84.93,650
"노원구",1999,49.6,320
"노원구",1999,84.75,619
"노원구",1999,59.87,392
"노원구",1999,77.41,495
"노원구",1999,49.6,325
"노원구",1999,83.12,450
"노원구",1999,84.87,560
"노원구",1999,114.24,600
"노원구",1999,49.6,350
"노원구",1999,84.9,457
"노원구",1999,84.88,727
"노원구",1999,84.87,527
"노원구",1999,59.84,419
"노원구",1999,59.97,468
"노원구",1999,84.87,629
"노원구",1999,49.6,339
"노원구",1999,59.83,318
"노원구",2000,84.96,450
"노원구",2000,84.65,559
"노원구",2000,84.9,550
"노원구",2000,84.65,600
"노원구",2000,99.92,675
"노원구",2000,59.95,505
"노원구",2000,114.84,600
"노원구",2000,114.81,540
"노원구",2000,59.96,340
"노원구",2000,84.98,570
"노원구",2000,114.99,652
"노원구",2000,99.92,675
"노원구",2000,59.4,404
"노원구",2000,84.51,450
"노원구",2000,84.83,570
"노원구",2000,134.91,797
"노원구",2000,84.96,585
"노원구",2000,84.51,475
"노원구",2001,59.94,455
"노원구",2001,114.82,680
"노원구",2001,49.77,320
"노원구",2001,59.94,473
"노원구",2001,114.82,666
"노원구",2001,59.96,412
"노원구",2001,84.62,595
"노원구",2001,84.99,584
"노원구",2001,59.94,494
"노원구",2002,84.86,392
"노원구",2002,84.97,600
"노원구",2002,84.97,650
"노원구",2002,81.56,297
"노원구",2002,84.97,590
"노원구",2002,84.97,650
"노원구",2002,72.73,440
"노원구",2002,139.08,750
"노원구",2002,59.99,435
"노원구",2002,84.97,638
"노원구",2002,84.97,677
"노원구",2002,59.94,590
"노원구",2002,114.34,468
"노원구",2002,84.97,650
"노원구",2002,81.28,560
"노원구",2002,59.94,512
"노원구",2003,59.91,297
"노원구",2003,144.96,529
"노원구",2003,84.13,465
"노원구",2003,68.7,290
"노원구",2003,67.24,365
"노원구",2003,84.9,442
"노원구",2004,54.74,355
"노원구",2004,84.93,500
"노원구",2004,84.89,500
"노원구",2004,54.74,360
"노원구",2004,84.92,380
"노원구",2005,59.15,527
"노원구",2005,84.9,627
"노원구",2005,84.51,480
"노원구",2005,84.9,570
"노원구",2005,84.9,580
"노원구",2005,84.3,631
"노원구",2005,59.88,485
"노원구",2005,84.9,595
"노원구",2005,125.03,750
"노원구",2006,84.99,580
"노원구",2006,84.51,324
"노원구",2006,60,280
"노원구",2006,84.97,460
"노원구",2006,84.99,530
"노원구",2009,145.58,596
"노원구",2009,145.58,598
"노원구",2014,12.16,116
"노원구",2014,12.63,120
"노원구",2014,12.1,114
"노원구",2014,12.11,117
"노원구",2014,84.97,715
"노원구",2014,12.16,116
"노원구",2014,12.06,114
"노원구",2014,12.16,116
"노원구",2014,12.63,120
"노원구",2014,12.06,114
"노원구",2014,12.06,114
